cve_mun_full,Municipio,Escuelas,Alumnos,Alumnos Mujeres,Alumnos Hombres,Docentes¹,no_asistencia_3_5_pct,no_asistencia_6_11_pct,no_asistencia_12_14_pct,asistencia_15_17_pct,analfabetismo_pct,grado_escolaridad,marginacion,electricidad_pct,computadoras_pct,internet_pct,infra_adaptada_pct,material_adaptado_pct,agua_potable_pct,lavabo_manos_pct,indice_infra_sep,asistencia_primaria_pct,NOM_MUN_CLEAN,temp_media_anual,ZON_TER,escuelas_infied,luz_con_pct_infied,agua_red_pct_infied,bebederos_con_pct_infied,techumbre_con_pct_infied,ambito_urbano_pct_infied,ambito_rural_pct_infied,ambito_predominante_infied,control_predominante_infied
01001,AGUASCALIENTES,42,17566,10300,7266,305,38.2,2.9,7.9,73.1,1.6,10.84,Muy bajo,99.6,76.5,86.6,59.8,31.7,98.9,98.5,0.8,97.1,Aguascalientes,15.0,Templado,74.0,100.0,98.65,51.35,55.41,63.51,36.49,URBANO,PÚBLICO
01002,CALVILLO,2,3122,2217,905,16,45.2,4.3,10.5,66.7,3.5,8.54,Muy bajo,100.0,71.6,74.1,39.5,8.6,93.8,98.8,0.7,95.7,Asientos,15.0,Templado,43.0,100.0,97.67,30.23,53.49,4.65,95.35,RURAL,PÚBLICO
01003,COSÍO,1,2422,1063,1359,38,47.8,3.7,13.6,59.2,4.5,8.05,Muy bajo,97.6,72.0,64.6,42.7,26.8,91.5,95.1,0.7,96.3,Calvillo,19.0,Semicálido,42.0,100.0,100.0,23.81,69.05,23.81,76.19,RURAL,PÚBLICO
01004,JESÚS MARÍA,3,2159,1459,700,35,39.8,4.7,7.7,74.1,3.1,9.08,Muy bajo,100.0,94.7,89.5,68.4,21.1,100.0,94.7,0.8,95.3,Cosío,15.0,Templado,11.0,100.0,100.0,72.73,45.45,0.0,100.0,RURAL,PÚBLICO
01005,PABELLÓN DE ARTEAGA,1,2075,1164,911,11,40.6,3.4,10.9,68.2,2.4,10.22,Muy bajo,100.0,65.5,84.5,55.5,28.2,95.5,95.5,0.7,96.6,Jesús María,15.0,Templado,31.0,100.0,100.0,25.81,74.19,35.48,64.52,RURAL,PÚBLICO
01006,RINCÓN DE ROMOS,2,679,570,109,14,43.0,2.6,8.1,72.1,2.7,9.77,Muy bajo,100.0,79.5,76.9,51.3,10.3,100.0,97.4,0.7,97.4,Pabellón de Arteaga,17.0,Templado,14.0,100.0,100.0,57.14,85.71,50.0,50.0,RURAL,PÚBLICO
01007,SAN FRANCISCO DE LOS ROMO,2,1622,1206,416,17,39.9,3.0,7.2,71.2,3.4,9.6,Muy bajo,98.3,71.7,68.3,51.7,15.0,96.7,98.3,0.7,97.0,Rincón de Romos,17.0,Templado,29.0,100.0,100.0,37.93,89.66,17.24,82.76,RURAL,PÚBLICO
02001,ENSENADA,8,1470,544,926,39,43.2,4.6,7.2,77.9,2.3,10.34,Muy bajo,94.3,69.3,67.3,50.7,27.2,88.5,92.8,0.7,95.4,Ensenada,19.0,Semicálido,,,,,,,,,
02002,MEXICALI,32,15466,7519,7947,438,40.7,4.4,5.8,79.3,1.6,10.53,Muy bajo,98.9,76.6,81.8,53.0,25.6,96.5,97.1,0.8,95.6,Mexicali,19.0,Semicálido,5.0,100.0,100.0,40.0,100.0,80.0,20.0,URBANO,PÚBLICO
02003,PLAYAS DE ROSARITO,3,6,6,0,6,43.5,5.3,7.4,75.9,1.9,9.79,Muy bajo,94.6,73.1,72.0,57.0,31.2,92.5,93.5,0.7,94.7,Tecate,21.0,Semicálido,,,,,,,,,
