cve_mun_full,Municipio,NOM_MUN_CLEAN,temp_media_anual,ZON_TER,marginacion,electricidad_pct,computadoras_pct,internet_pct,infra_adaptada_pct,material_adaptado_pct,agua_potable_pct,lavabo_manos_pct,indice_infra_sep,escuelas_infied,luz_con_pct_infied,agua_red_pct_infied,bebederos_con_pct_infied,techumbre_con_pct_infied,ambito_urbano_pct_infied,ambito_rural_pct_infied,ambito_predominante_infied,control_predominante_infied
01001,AGUASCALIENTES,Aguascalientes,15.0,Templado,Muy bajo,99.6,76.5,86.6,59.8,31.7,98.9,98.5,0.8,74.0,100.0,98.65,51.35,55.41,63.51,36.49,URBANO,PÚBLICO
01002,CALVILLO,Asientos,15.0,Templado,Muy bajo,100.0,71.6,74.1,39.5,8.6,93.8,98.8,0.7,43.0,100.0,97.67,30.23,53.49,4.65,95.35,RURAL,PÚBLICO
01003,COSÍO,Calvillo,19.0,Semicálido,Muy bajo,97.6,72.0,64.6,42.7,26.8,91.5,95.1,0.7,42.0,100.0,100.0,23.81,69.05,23.81,76.19,RURAL,PÚBLICO
01004,JESÚS MARÍA,Cosío,15.0,Templado,Muy bajo,100.0,94.7,89.5,68.4,21.1,100.0,94.7,0.8,11.0,100.0,100.0,72.73,45.45,0.0,100.0,RURAL,PÚBLICO
01005,PABELLÓN DE ARTEAGA,Jesús María,15.0,Templado,Muy bajo,100.0,65.5,84.5,55.5,28.2,95.5,95.5,0.7,31.0,100.0,100.0,25.81,74.19,35.48,64.52,RURAL,PÚBLICO
01006,RINCÓN DE ROMOS,Pabellón de Arteaga,17.0,Templado,Muy bajo,100.0,79.5,76.9,51.3,10.3,100.0,97.4,0.7,14.0,100.0,100.0,57.14,85.71,50.0,50.0,RURAL,PÚBLICO
01007,SAN FRANCISCO DE LOS ROMO,Rincón de Romos,17.0,Templado,Muy bajo,98.3,71.7,68.3,51.7,15.0,96.7,98.3,0.7,29.0,100.0,100.0,37.93,89.66,17.24,82.76,RURAL,PÚBLICO
02001,ENSENADA,Ensenada,19.0,Semicálido,Muy bajo,94.3,69.3,67.3,50.7,27.2,88.5,92.8,0.7,,,,,,,,,
02002,MEXICALI,Mexicali,19.0,Semicálido,Muy bajo,98.9,76.6,81.8,53.0,25.6,96.5,97.1,0.8,5.0,100.0,100.0,40.0,100.0,80.0,20.0,URBANO,PÚBLICO
02003,PLAYAS DE ROSARITO,Tecate,21.0,Semicálido,Muy bajo,94.6,73.1,72.0,57.0,31.2,92.5,93.5,0.7,,,,,,,,,
02004,TECATE,Tijuana,17.0,Templado,Muy bajo,99.1,76.3,74.4,50.6,22.3,98.2,96.4,0.7,,,,,,,,,
02005,TIJUANA,Playas de Rosarito,17.0,Templado,Muy bajo,98.8,70.6,76.5,56.5,32.9,89.4,98.8,0.7,,,,,,,,,
03001,COMONDÚ,Comondú,19.0,Semicálido,Muy bajo,86.9,66.7,22.6,34.5,15.5,88.1,91.7,0.6,22.0,100.0,95.45,27.27,100.0,40.91,59.09,RURAL,PÚBLICO
03002,LA PAZ,Mulegé,23.0,Cálido,Muy bajo,86.1,71.3,41.6,33.7,19.8,80.2,90.1,0.6,4.0,100.0,100.0,25.0,100.0,25.0,75.0,RURAL,PÚBLICO
03003,LOS CABOS,La Paz,21.0,Semicálido,Muy bajo,86.6,65.9,40.1,58.6,34.1,88.4,92.7,0.7,28.0,100.0,96.43,35.71,96.43,46.43,53.57,RURAL,PÚBLICO
04001,CALAKMUL,Calkiní,25.0,Cálido,Bajo,100.0,56.1,24.4,43.9,7.3,90.2,92.7,0.6,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
04002,CALKINÍ,Campeche,25.0,Cálido,Muy bajo,94.8,63.4,40.8,54.5,28.8,94.2,86.4,0.7,1.0,100.0,100.0,100.0,100.0,100.0,0.0,URBANO,PÚBLICO
04003,CAMPECHE,Carmen,27.0,Muy cálido,Muy bajo,91.2,62.3,41.4,47.0,20.9,80.5,81.4,0.6,1.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
04004,CANDELARIA,Champotón,27.0,Muy cálido,Bajo,86.2,44.0,10.3,37.9,18.1,88.8,81.0,0.5,2.0,100.0,100.0,0.0,50.0,0.0,100.0,RURAL,PÚBLICO
04005,CARMEN,Hecelchakán,25.0,Cálido,Bajo,100.0,62.1,17.2,55.2,13.8,93.1,82.8,0.6,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
04006,CHAMPOTÓN,Hopelchén,25.0,Cálido,Medio,96.5,71.9,7.0,33.3,10.5,89.5,89.5,0.6,2.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
04007,DZITBALCHÉ,Palizada,27.0,Muy cálido,Medio,83.7,41.9,0.0,11.6,14.0,46.5,65.1,0.4,2.0,100.0,50.0,0.0,50.0,0.0,100.0,RURAL,PÚBLICO
04008,ESCÁRCEGA,Tenabo,25.0,Cálido,Bajo,84.6,69.2,7.7,38.5,30.8,69.2,92.3,0.6,,,,,,,,,
04009,HECELCHAKÁN,Escárcega,25.0,Cálido,Bajo,91.8,56.7,6.2,30.9,11.3,83.5,80.4,0.5,,,,,,,,,
04010,HOPELCHÉN,Calakmul,23.0,Cálido,Alto,94.5,71.4,2.2,13.2,13.2,38.5,75.8,0.4,3.0,100.0,66.67,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
04011,PALIZADA,Candelaria,23.0,Cálido,Alto,78.7,41.1,4.5,15.3,25.2,75.2,78.7,0.5,,,,,,,,,
04012,SEYBAPLAYA,Seybaplaya,25.0,Cálido,Bajo,80.0,50.0,10.0,80.0,40.0,100.0,90.0,0.6,,,,,,,,,
04013,TENABO,Dzitbalché,25.0,Cálido,,,,,,,,,,,,,,,,,,
05001,ACUÑA,Abasolo,21.0,Semicálido,Muy bajo,100.0,50.0,0.0,25.0,25.0,100.0,100.0,0.6,,,,,,,,,
05002,FRANCISCO I. MADERO,Acuña,21.0,Semicálido,Muy bajo,97.0,35.0,35.0,55.0,19.0,97.0,81.0,0.6,,,,,,,,,
05003,FRONTERA,Allende,21.0,Semicálido,Muy bajo,100.0,57.9,36.8,68.4,31.6,94.7,94.7,0.7,,,,,,,,,
05004,MATAMOROS,Arteaga,15.0,Templado,Muy bajo,100.0,68.8,14.6,37.5,16.7,75.0,81.3,0.6,3.0,100.0,100.0,66.67,33.33,100.0,0.0,URBANO,PÚBLICO
05005,MONCLOVA,Candela,19.0,Semicálido,Bajo,100.0,75.0,0.0,75.0,25.0,75.0,100.0,0.6,,,,,,,,,
05006,MÚZQUIZ,Castaños,17.0,Templado,Muy bajo,100.0,43.3,36.7,53.3,16.7,86.7,76.7,0.6,,,,,,,,,
05007,PIEDRAS NEGRAS,Cuatro Ciénegas,17.0,Templado,Muy bajo,86.7,70.0,13.3,20.0,0.0,53.3,63.3,0.4,,,,,,,,,
05008,RAMOS ARIZPE,Escobedo,21.0,Semicálido,Bajo,100.0,60.0,0.0,40.0,20.0,60.0,80.0,0.5,,,,,,,,,
05009,SALTILLO,Francisco I. Madero,21.0,Semicálido,Muy bajo,93.0,32.4,15.5,49.3,19.7,84.5,85.9,0.5,,,,,,,,,
05010,SAN JUAN DE SABINAS,Frontera,19.0,Semicálido,Muy bajo,97.9,27.7,34.0,76.6,25.5,95.7,80.9,0.6,,,,,,,,,
05011,SAN PEDRO,General Cepeda,15.0,Templado,Muy bajo,100.0,45.7,8.6,31.4,8.6,77.1,77.1,0.5,2.0,100.0,100.0,50.0,50.0,50.0,50.0,RURAL,PÚBLICO
05012,TORREÓN,Guerrero,21.0,Semicálido,Bajo,100.0,71.4,14.3,42.9,14.3,100.0,100.0,0.6,,,,,,,,,
06001,ARMERÍA,Armería,23.0,Cálido,Bajo,100.0,57.1,39.3,71.4,32.1,100.0,100.0,0.7,,,,,,,,,
06002,COLIMA,Colima,27.0,Muy cálido,Muy bajo,99.3,74.3,50.7,68.4,30.9,97.4,94.7,0.7,,,,,,,,,
06003,COMALA,Comala,25.0,Cálido,Muy bajo,100.0,76.0,40.0,80.0,40.0,88.0,92.0,0.7,,,,,,,,,
06004,COQUIMATLÁN,Coquimatlán,21.0,Semicálido,Muy bajo,100.0,63.0,37.0,66.7,11.1,92.6,92.6,0.7,,,,,,,,,
06005,CUAUHTÉMOC,Cuauhtémoc,25.0,Cálido,Muy bajo,96.8,77.4,51.6,71.0,32.3,87.1,93.5,0.7,,,,,,,,,
06006,IXTLAHUACÁN,Ixtlahuacán,27.0,Muy cálido,Bajo,94.1,64.7,17.6,52.9,41.2,88.2,82.4,0.6,,,,,,,,,
06007,MANZANILLO,Manzanillo,23.0,Cálido,Muy bajo,98.8,68.8,46.8,56.1,22.0,91.9,93.6,0.7,,,,,,,,,
06008,MINATITLÁN,Minatitlán,25.0,Cálido,Muy bajo,100.0,78.3,17.4,39.1,13.0,82.6,91.3,0.6,,,,,,,,,
06009,TECOMÁN,Tecomán,23.0,Cálido,Muy bajo,94.3,52.4,34.3,47.6,23.8,95.2,95.2,0.6,,,,,,,,,
06010,VILLA DE ÁLVAREZ,Villa de Álvarez,25.0,Cálido,Muy bajo,100.0,72.0,48.0,74.7,32.0,97.3,93.3,0.7,,,,,,,,,
07001,ACACOYAGUA,Acacoyagua,25.0,Cálido,Medio,83.3,12.5,2.1,4.2,22.9,41.7,47.9,0.3,,,,,,,,,
07002,ACALA,Acala,25.0,Cálido,Medio,91.7,13.9,5.6,5.6,13.9,52.8,75.0,0.4,,,,,,,,,
07003,ÁNGEL ALBINO CORZO,Acapetahua,23.0,Cálido,Alto,93.2,16.9,3.4,8.5,8.5,35.6,67.8,0.3,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
07004,ARRIAGA,Altamirano,17.0,Templado,Alto,96.8,15.8,2.1,1.1,4.2,41.1,47.4,0.3,,,,,,,,,
07005,BERRIOZÁBAL,Amatán,17.0,Templado,Alto,85.8,16.0,0.9,0.0,17.0,25.5,49.1,0.3,2.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
07006,BOCHIL,Amatenango de la Frontera,19.0,Semicálido,Alto,94.8,27.8,1.0,0.0,6.2,57.7,50.5,0.3,,,,,,,,,
07007,CACAHOATÁN,Amatenango del Valle,23.0,Cálido,Muy alto,92.0,20.0,0.0,0.0,4.0,36.0,60.0,0.3,,,,,,,,,
07008,CATAZAJÁ,Ángel Albino Corzo,21.0,Semicálido,Alto,92.3,21.2,0.0,7.7,1.9,59.6,57.7,0.3,,,,,,,,,
07009,CHAMULA,Arriaga,27.0,Muy cálido,Medio,93.2,28.8,11.9,11.9,5.1,52.5,67.8,0.4,,,,,,,,,
07010,CHIAPA DE CORZO,Bejucal de Ocampo,19.0,Semicálido,Alto,97.1,22.9,2.9,0.0,11.4,25.7,45.7,0.3,,,,,,,,,
07011,CHICOMUSELO,Bella Vista,15.0,Templado,Alto,91.7,12.5,0.0,0.0,15.3,45.8,56.9,0.3,,,,,,,,,
07012,CINTALAPA DE FIGUEROA,Berriozábal,25.0,Cálido,Medio,89.8,30.6,12.0,13.9,28.7,39.8,52.8,0.4,,,,,,,,,
07013,COMITÁN DE DOMÍNGUEZ,Bochil,21.0,Semicálido,Alto,85.6,15.6,4.4,3.3,12.2,43.3,53.3,0.3,1.0,100.0,0.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
