cve_mun_full,NOM_MUN_CLEAN,temp_media_anual,ZON_TER
01008,San José de Gracia,15.0,Templado
01009,Tepezalá,15.0,Templado
01010,El Llano,15.0,Templado
01011,San Francisco de los Romo,17.0,Templado
01001,Aguascalientes,15.0,Templado
01002,Asientos,15.0,Templado
01003,Calvillo,19.0,Semicálido
01004,Cosío,15.0,Templado
01005,Jesús María,15.0,Templado
01006,Pabellón de Arteaga,17.0,Templado
01007,Rincón de Romos,17.0,Templado
02005,Playas de Rosarito,17.0,Templado
02002,Mexicali,19.0,Semicálido
02003,Tecate,21.0,Semicálido
02004,Tijuana,17.0,Templado
02001,Ensenada,19.0,Semicálido
02007,San Felipe,17.0,Templado
02006,San Quintín,23.0,Cálido
03001,Comondú,19.0,Semicálido
03002,Mulegé,23.0,Cálido
03003,La Paz,21.0,Semicálido
03008,Los Cabos,21.0,Semicálido
03009,Loreto,21.0,Semicálido
04003,Carmen,27.0,Muy cálido
04011,Candelaria,23.0,Cálido
04002,Campeche,25.0,Cálido
04004,Champotón,27.0,Muy cálido
04007,Palizada,27.0,Muy cálido
04008,Tenabo,25.0,Cálido
04009,Escárcega,25.0,Cálido
04010,Calakmul,23.0,Cálido
04013,Dzitbalché,25.0,Cálido
04005,Hecelchakán,25.0,Cálido
04001,Calkiní,25.0,Cálido
04012,Seybaplaya,25.0,Cálido
04006,Hopelchén,25.0,Cálido
05016,Lamadrid,21.0,Semicálido
05029,Sacramento,19.0,Semicálido
05036,Viesca,17.0,Templado
05014,Jiménez,21.0,Semicálido
05035,Torreón,17.0,Templado
05002,Acuña,21.0,Semicálido
05004,Arteaga,15.0,Templado
05005,Candela,19.0,Semicálido
05027,Ramos Arizpe,15.0,Templado
05009,Francisco I. Madero,21.0,Semicálido
05033,San Pedro,19.0,Semicálido
05024,Parras,15.0,Templado
05025,Piedras Negras,21.0,Semicálido
05017,Matamoros,19.0,Semicálido
05023,Ocampo,17.0,Templado
05018,Monclova,17.0,Templado
05012,Guerrero,21.0,Semicálido
05030,Saltillo,13.0,Templado
05031,San Buenaventura,21.0,Semicálido
05020,Múzquiz,21.0,Semicálido
05010,Frontera,19.0,Semicálido
05021,Nadadores,19.0,Semicálido
05032,San Juan de Sabinas,21.0,Semicálido
05008,Escobedo,21.0,Semicálido
05006,Castaños,17.0,Templado
05001,Abasolo,21.0,Semicálido
05007,Cuatro Ciénegas,17.0,Templado
05003,Allende,21.0,Semicálido
05011,General Cepeda,15.0,Templado
05013,Hidalgo,21.0,Semicálido
05015,Juárez,21.0,Semicálido
05022,Nava,21.0,Semicálido
05026,Progreso,21.0,Semicálido
05019,Morelos,21.0,Semicálido
05028,Sabinas,21.0,Semicálido
05034,Sierra Mojada,17.0,Templado
05037,Villa Unión,19.0,Semicálido
