cve_mun_full,Municipio,Escuelas,Alumnos,Alumnos Mujeres,Alumnos Hombres,Docentes¹
01001,AGUASCALIENTES,42,17566,10300,7266,305
01002,CALVILLO,2,3122,2217,905,16
01003,COSÍO,1,2422,1063,1359,38
01004,JESÚS MARÍA,3,2159,1459,700,35
01005,PABELLÓN DE ARTEAGA,1,2075,1164,911,11
01006,RINCÓN DE ROMOS,2,679,570,109,14
01007,SAN FRANCISCO DE LOS ROMO,2,1622,1206,416,17
02001,ENSENADA,8,1470,544,926,39
02002,MEXICALI,32,15466,7519,7947,438
02003,PLAYAS DE ROSARITO,3,6,6,0,6
02004,TECATE,5,2205,1139,1066,17
02005,TIJUANA,82,6851,3539,3312,284
03001,COMONDÚ,1,4520,2879,1641,53
03002,LA PAZ,12,13982,9709,4273,233
03003,LOS CABOS,7,3955,2970,985,79
04001,CALAKMUL,2,3214,2743,471,20
04002,CALKINÍ,2,10513,9201,1312,65
04003,CAMPECHE,22,4810,3365,1445,94
04004,CANDELARIA,2,6385,4668,1717,48
04005,CARMEN,9,9825,6975,2850,59
04006,CHAMPOTÓN,4,11734,9365,2369,52
04007,DZITBALCHÉ,2,2183,1913,270,20
04008,ESCÁRCEGA,2,5807,4185,1622,44
04009,HECELCHAKÁN,2,6070,4103,1967,34
04010,HOPELCHÉN,2,4640,3996,644,26
04011,PALIZADA,2,1979,1318,661,26
04012,SEYBAPLAYA,2,614,602,12,20
04013,TENABO,2,3416,2943,473,20
05001,ACUÑA,4,3479,1884,1595,44
05002,FRANCISCO I. MADERO,1,10,4,6,1
05003,FRONTERA,1,1355,1237,118,22
05004,MATAMOROS,1,60,43,17,3
05005,MONCLOVA,6,3849,1884,1965,61
05006,MÚZQUIZ,1,988,53,935,11
05007,PIEDRAS NEGRAS,7,3338,2176,1162,51
05008,RAMOS ARIZPE,2,6504,3065,3439,84
05009,SALTILLO,19,9809,7270,2539,184
05010,SAN JUAN DE SABINAS,2,970,79,891,25
05011,SAN PEDRO,2,1067,992,75,30
05012,TORREÓN,32,10158,5169,4989,234
06001,ARMERÍA,2,759,307,452,8
06002,COLIMA,48,4491,1996,2495,215
06003,COMALA,4,82,82,0,10
06004,COQUIMATLÁN,5,81,81,0,8
06005,CUAUHTÉMOC,9,85,85,0,19
06006,IXTLAHUACÁN,4,36,33,3,5
06007,MANZANILLO,18,1853,889,964,70
06008,MINATITLÁN,1,12,12,0,1
06009,TECOMÁN,19,278,255,23,46
06010,VILLA DE ÁLVAREZ,18,344,341,3,55
07001,ACACOYAGUA,1,98,56,42,1
07002,ACALA,1,29,16,13,1
07003,ÁNGEL ALBINO CORZO,7,1190,694,496,47
07004,ARRIAGA,4,805,719,86,37
07005,BERRIOZÁBAL,2,4567,2798,1769,104
07006,BOCHIL,3,38,17,21,6
07007,CACAHOATÁN,2,1138,793,345,28
07008,CATAZAJÁ,5,3182,1665,1517,84
07009,CHAMULA,2,3509,2210,1299,93
07010,CHIAPA DE CORZO,6,3169,1585,1584,115
07011,CHICOMUSELO,1,14,12,2,2
07012,CINTALAPA DE FIGUEROA,5,2333,1485,848,81
07013,COMITÁN DE DOMÍNGUEZ,23,6153,3767,2386,153
07014,COPAINALÁ,2,2660,1338,1322,127
07015,ESCUINTLA,5,626,361,265,13
07016,FRONTERA COMALAPA,9,144,91,53,12
07017,HUEHUETÁN,1,150,76,74,2
07018,HUIXTLA,6,506,310,196,18
07019,JIQUIPILAS,2,2453,1712,741,67
07020,JITOTOL,2,6597,3409,3188,88
07021,JUÁREZ,2,1011,581,430,27
07022,LA CONCORDIA,4,2458,1727,731,55
07023,LAS MARGARITAS,4,65,34,31,20
07024,MAPASTEPEC,8,1561,1269,292,57
07025,MAZATÁN,1,54,23,31,1
07026,MOTOZINTLA,5,74,62,12,5
