CVEGEO,CVE_ENT,CVE_MUN,NOM_ENT,COV__left,COV_ID_left,AREA,PERIMETER,NOM_MUN,index_right,TEM_C,ZON_TER,COV_ID_right,COV__right
01008,01,008,Aguascalientes,0,1,857.790574261,181537.599568,San JosÃ© de Gracia,25676,14 - 16,Templado,25677,25678
01009,01,009,Aguascalientes,1,2,229.661012284,89329.5317063,TepezalÃ¡,25143,14 - 16,Templado,25144,25145
01010,01,010,Aguascalientes,2,3,504.050988759,144866.490027,El Llano,26217,14 - 16,Templado,26218,26219
01011,01,011,Aguascalientes,3,4,137.770176287,103689.065529,San Francisco de los Romo,34700,16 - 18,Templado,34701,34702
01001,01,001,Aguascalientes,4,5,1166.35924759,256631.025247,Aguascalientes,26072,14 - 16,Templado,26073,26074
01002,01,002,Aguascalientes,5,6,543.374266029,192096.42786,Asientos,26217,14 - 16,Templado,26218,26219
01003,01,003,Aguascalientes,6,7,923.35783229,171636.16819,Calvillo,29073,18 - 20,Semicálido,29074,29075
01004,01,004,Aguascalientes,7,8,128.383544536,73352.6818376,CosÃ­o,24855,14 - 16,Templado,24856,24857
01005,01,005,Aguascalientes,8,9,499.895091577,163500.810286,JesÃºs MarÃ­a,26072,14 - 16,Templado,26073,26074
01006,01,006,Aguascalientes,9,10,195.735946473,105612.996663,PabellÃ³n de Arteaga,34700,16 - 18,Templado,34701,34702
01007,01,007,Aguascalientes,10,11,372.295163116,161749.879725,RincÃ³n de Romos,25023,16 - 18,Templado,25024,25025
02005,02,005,Baja California,11,12,512.759993622,139042.372561,Playas de Rosarito,2663,16 - 18,Templado,2664,2665
02002,02,002,Baja California,12,13,10101.9720203,615839.46569,Mexicali,9722,18 - 20,Semicálido,9723,9724
02003,02,003,Baja California,13,14,2900.51870148,245599.306999,Tecate,5020,20 - 22,Semicálido,5021,5022
02004,02,004,Baja California,14,15,1090.45972364,199120.179074,Tijuana,2663,16 - 18,Templado,2664,2665
02001,02,001,Baja California,15,16,13661.9296775,834546.309199,Ensenada,5267,18 - 20,Semicálido,5268,5269
02007,02,007,Baja California,16,17,11063.7917282,853479.576622,San Felipe,2961,16 - 18,Templado,2962,2963
02006,02,006,Baja California,17,18,34185.3078057,1904662.53083,San QuintÃ­n,23720,22 - 24,Cálido,23721,23722
03001,03,001,Baja California Sur,18,19,18155.5138836,1001929.80071,ComondÃº,18656,18 - 20,Semicálido,18657,18658
03002,03,002,Baja California Sur,19,20,31848.9159544,1176912.21195,MulegÃ©,23720,22 - 24,Cálido,23721,23722
03003,03,003,Baja California Sur,20,21,15668.8471757,1223062.45154,La Paz,18836,20 - 22,Semicálido,18837,18838
03008,03,008,Baja California Sur,21,22,3710.91391578,367307.802127,Los Cabos,23134,20 - 22,Semicálido,23135,23136
03009,03,009,Baja California Sur,22,23,4586.49639774,718859.699588,Loreto,15314,20 - 22,Semicálido,15315,15316
04003,04,003,Campeche,23,24,8528.50695119,816962.2253,Carmen,40782,26 - 28,Muy cálido,40783,40784
04011,04,011,Campeche,24,25,5657.99971223,447936.614389,Candelaria,47226,22 - 24,Cálido,47227,47228
04002,04,002,Campeche,25,26,3216.8926643,425494.77024,Campeche,46647,24 - 26,Cálido,46648,46649
